Legal Entity Name,"Organization
Marketing Name","Contract
Number","Organization
Type",Plan Type,"Contract
Effective
Date",Tax Status,"Parent
Organization","CMS
Region
Responsible",Enrollment,"Legal Entity
Street","Legal Entity
Street2","Legal Entity
City","Legal
Entity
State
Code","Legal
Entity
Zip","Directory
Contact Title","Directory
Contact Last
Name","Directory
Contact
First
Name","Directory
Contact
Middle
Initial","Directory
Contact
Phone","Directory
Contact
Phone
Ext","Directory
Contact Fax",Directory Contact Email,"Directory
Contact St
Address","Directory
Contact St
Address2","Directory
Contact City","Directory
Contact
State","Directory
Contact
Zip","Directory
Contact
Last
Update",contractId,planId,pbpStatus,lastUpdatedAt,retail_pharmacy_network,mail_order_1mo_supply,mail_order_3mo_supply,insulin_retail_1mo,insulin_mail_1mo,moop_lower,moop_intermediate,moop_mandatory
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,007,Submitted,8/20/2024 5:03:22 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,008,Submitted,8/6/2024 2:26:41 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,011,Submitted,8/6/2024 2:26:41 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,012,Submitted,8/6/2024 2:26:42 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,014,Submitted,8/20/2024 5:03:23 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,016,Submitted,8/6/2024 2:26:41 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,017,Submitted,8/6/2024 2:26:42 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,018,Submitted,8/6/2024 2:26:48 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,019,Submitted,8/6/2024 2:26:49 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,021,Submitted,8/20/2024 5:03:23 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,022,Submitted,8/6/2024 2:26:49 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,023,Submitted,8/6/2024 2:26:50 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,801,Submitted,5/31/2024 3:26:49 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (GA)",Aetna Medicare,H3146,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,62240,"2000 Riveredge
Parkway",Suite 200,Atlanta,GA,30328, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/07/2018,H3146,802,Submitted,5/31/2024 3:26:50 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (NJ)","Aetna Better Health of
New Jersey",H6399,Local CCP,HMO/HMOPOS,01/01/2021,For Profit,"CVS Health
Corporation",Philadelphia,6123,"3 Independence
Way, Suite 104", ,Princeton,NJ,8540,"Director of
Provider Expe",Koblens,Matt, ,1-844-362-0934, , ,koblensm@aetna.com,"7400 West
Campus Road", ,New Albany,OH,43054,10/13/2023,H6399,001,Submitted,8/6/2024 4:36:36 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
INC. (OH)","Aetna Better Health of
Ohio, MyCare Ohio",H7172,Demo,"Medicare-Medicaid
Plan
HMO/HMOPOS",05/01/2014,For Profit,"CVS Health
Corporation",Dallas,12423,"7400 W Campus
Rd", ,New Albany,OH,43054,"Director of
Provider Expe",Koblens,Matt, ,1-855-364-0974, , ,koblensm@aetna.com,"7400 West
Campus Road", ,New Albany,OH,43054,10/13/2023,H7172,001,Submitted,9/26/2024 9:19:28 AM EDT,1,,,,,,,
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,001,Submitted,8/6/2024 3:46:44 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,002,Submitted,8/6/2024 3:46:45 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,003,Submitted,8/8/2024 4:41:41 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,004,Submitted,8/6/2024 3:46:45 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,007,Submitted,8/6/2024 3:46:47 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,008,Submitted,8/6/2024 3:46:45 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,009,Submitted,8/9/2024 1:52:40 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,010,Submitted,8/6/2024 3:46:52 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,016,Submitted,8/6/2024 3:46:52 PM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,017,Submitted,8/6/2024 3:46:52 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,018,Submitted,8/6/2024 3:46:52 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,020,Submitted,8/20/2024 1:02:31 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,021,Submitted,8/9/2024 1:52:40 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,022,Submitted,8/6/2024 3:46:59 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,023,Submitted,8/6/2024 3:46:59 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,024,Submitted,8/6/2024 3:47:00 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,025,Submitted,8/6/2024 3:47:00 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,026,Submitted,8/6/2024 3:47:00 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,027,Submitted,8/20/2024 1:01:56 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,028,Submitted,8/20/2024 1:02:39 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,029,Submitted,8/20/2024 1:02:43 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,030,Submitted,8/6/2024 3:47:07 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,801,Submitted,5/31/2024 3:27:11 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF CALIFORNIA INC.",Aetna Medicare,H4982,Local CCP,HMO/HMOPOS,01/01/2020,For Profit,"CVS Health
Corporation",Philadelphia,20050,"9350 Waxie Way,
Suite 210", ,San Diego,CA,92123, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,12/11/2018,H4982,802,Submitted,5/31/2024 3:27:13 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"AETNA BETTER HEALTH
OF KANSAS INC.",Aetna Medicare,H8332,Local CCP,HMO/HMOPOS,01/01/2021,For Profit,"CVS Health
Corporation",Philadelphia,311,"9401 Indian
Creek Pkwy", ,Overland Park,KS,66210, ,Customer Service,Aetna, ,1-800-624-0756, , ,CustomerService@aetna.com,"151 Farmington
Avenue", ,Hartford,CT,6156,01/13/2020,H8332,004,Submitted,8/20/2024 5:17:48 PM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
